actorId,name,movieCount,genreRichness,shannonDiversity,maxPossibleH,topGenres,topGenreShares
nm0000616,Eric Roberts,6,8,2.7439,3.0,Drama;Sci-Fi;Thriller,0.306;0.167;0.167
nm9716187,Sammy Jonas Heaney,3,7,2.7052,2.8074,Thriller;Horror;Comedy,0.278;0.167;0.111
nm5862455,Nana Komatsu,3,7,2.7052,2.8074,Drama;Crime;History,0.278;0.167;0.111
nm1883210,Nao Tôyama,3,7,2.6416,2.8074,Animation;Family;Drama,0.333;0.111;0.111
nm1302330,Murli Sharma,5,7,2.5899,2.8074,Action;Drama;Crime,0.267;0.267;0.133
nm1167594,Nawab Shah,2,6,2.585,2.585,Thriller;Drama;Romance,0.167;0.167;0.167
nm0799777,J.K. Simmons,2,6,2.585,2.585,Action;Adventure;Comedy,0.167;0.167;0.167
nm0409204,Innocent Vareed Thekkethala,2,6,2.585,2.585,Drama;Sci-Fi;Thriller,0.167;0.167;0.167
nm8493387,J. Gaven Wilde,2,6,2.585,2.585,Horror;Adventure;Comedy,0.167;0.167;0.167
nm0043766,Chad Ayers,2,6,2.585,2.585,Crime;Mystery;Drama,0.167;0.167;0.167
nm0005048,Thomas Jane,2,6,2.585,2.585,Thriller;Fantasy;Crime,0.167;0.167;0.167
nm3409676,Miriam Leone,2,6,2.585,2.585,Action;Comedy;Drama,0.167;0.167;0.167
nm4406232,Luca Di Giovanni,2,6,2.585,2.585,Action;Biography;Comedy,0.167;0.167;0.167
nm0162911,Roberto Citran,2,6,2.585,2.585,Crime;Mystery;Drama,0.167;0.167;0.167
nm1725848,Joe Anderson,2,6,2.585,2.585,Horror;Action;Adventure,0.167;0.167;0.167
nm1098416,Gauri Malla,2,6,2.585,2.585,Drama;Romance;Thriller,0.167;0.167;0.167
nm8713021,Jung Ga-ram,2,6,2.585,2.585,Crime;Mystery;Drama,0.167;0.167;0.167
nm6649988,Harish Uthaman,2,6,2.585,2.585,Comedy;Action;Crime,0.167;0.167;0.167
nm3646923,Roxane Duran,2,6,2.585,2.585,Mystery;Drama;Romance,0.167;0.167;0.167
nm6874873,Kyle A. Lee,2,6,2.585,2.585,Crime;Mystery;Drama,0.167;0.167;0.167
nm0241049,Josh Duhamel,2,6,2.585,2.585,Crime;Drama;Romance,0.167;0.167;0.167
nm2316240,Ryohei Kimura,2,6,2.585,2.585,Adventure;Action;Animation,0.167;0.167;0.167
nm2278431,Joe Hammerstone,2,6,2.585,2.585,Drama;Crime;Mystery,0.167;0.167;0.167
nm2257207,Daniel Kaluuya,2,6,2.585,2.585,Adventure;Biography;Action,0.167;0.167;0.167
nm7744845,Shraddha Srinath,2,6,2.585,2.585,Adventure;Action;Crime,0.167;0.167;0.167
nm0181920,James Cosmo,2,6,2.585,2.585,Sci-Fi;Action;Horror,0.167;0.167;0.167
nm0570364,Joel McHale,2,6,2.585,2.585,Romance;Animation;Crime,0.167;0.167;0.167
nm4973896,Taylor John Smith,2,6,2.585,2.585,Drama;Romance;Mystery,0.167;0.167;0.167
nm11314153,Kim Dae-hyun,2,6,2.585,2.585,Action;Comedy;Drama,0.167;0.167;0.167
nm1935905,Lydia Hearst,2,6,2.585,2.585,Horror;Comedy;Drama,0.167;0.167;0.167
nm0177639,Jennifer Coolidge,2,6,2.585,2.585,Action;Comedy;Drama,0.167;0.167;0.167
nm5418157,Paul Gustovich,2,6,2.585,2.585,Adventure;Action;Fantasy,0.167;0.167;0.167
nm0330853,Michael Gor,2,6,2.585,2.585,Comedy;Music;War,0.167;0.167;0.167
nm8266000,Zachary Cirino,2,6,2.585,2.585,Drama;Sci-Fi;Thriller,0.167;0.167;0.167
nm2648766,Vitaliy Versace,2,6,2.585,2.585,Fantasy;Drama;Musical,0.167;0.167;0.167
nm5782889,Hareesh Peradi,4,6,2.5546,2.585,Thriller;Drama;Action,0.208;0.208;0.167
nm1368581,Salim Kumar,7,7,2.5246,2.8074,Drama;Comedy;Romance,0.310;0.238;0.143
nm6213877,Maala Parvathi,4,6,2.519,2.585,Comedy;Romance;Thriller,0.208;0.208;0.208
nm5207111,Kate Alejandrino,3,6,2.5102,2.585,Drama;Comedy;Action,0.278;0.167;0.167
nm0103976,Brahmaji,3,6,2.5102,2.585,Drama;Comedy;Horror,0.278;0.167;0.167
nm0034877,Jonathan Aris,3,6,2.5033,2.585,Horror;Drama;Mystery,0.222;0.222;0.222
nm0612217,Otávio Müller,3,6,2.483,2.585,Drama;Crime;Comedy,0.278;0.222;0.167
nm1256745,Jagath Chamila,3,6,2.483,2.585,Drama;Action;War,0.278;0.222;0.167
nm6489058,Yogi Babu,5,6,2.4649,2.585,Thriller;Drama;Horror,0.267;0.233;0.167
nm1066974,Yû Aoi,3,6,2.4466,2.585,Romance;Drama;Family,0.333;0.167;0.167
nm1974708,Olivia Sui,3,6,2.4466,2.585,Drama;Sci-Fi;Comedy,0.333;0.167;0.167
nm8268551,Mark Speno,3,6,2.4466,2.585,Drama;Crime;Thriller,0.333;0.167;0.167
nm4082296,Dongyu Zhou,3,6,2.4466,2.585,War;Action;Fantasy,0.333;0.167;0.167
nm2544899,Shabnam Moghadami,3,6,2.4355,2.585,Drama;Comedy;Family,0.278;0.278;0.111
nm3808948,Vennela Kishore,4,6,2.4218,2.585,Thriller;Romance;Action,0.292;0.250;0.167
nm4710099,Sudev Nair,3,6,2.4194,2.585,Drama;Action;Mystery,0.333;0.222;0.111
nm1818216,Payman Maadi,3,6,2.4194,2.585,Drama;Crime;Thriller,0.333;0.222;0.111
nm0474774,Akshay Kumar,3,6,2.4194,2.585,Drama;Action;History,0.333;0.222;0.111
nm3524360,Travis Mills,3,6,2.4194,2.585,Thriller;Drama;Comedy,0.333;0.222;0.111
nm2212823,Duleeka Marapana,8,7,2.3942,2.8074,Drama;Comedy;Action,0.396;0.188;0.146
nm3931538,Sam Richardson,4,6,2.3648,2.585,Drama;Action;Adventure,0.375;0.167;0.167
nm1259084,Manoj Joshi,5,6,2.3496,2.585,Comedy;Drama;Romance,0.375;0.208;0.125
nm0005246,Esai Morales,3,5,2.3083,2.3219,Thriller;Action;Adventure,0.222;0.222;0.222
nm1041023,Navid Negahban,2,5,2.2925,2.3219,Action;Thriller;Comedy,0.250;0.250;0.167
nm1521381,Nayanthara,2,5,2.2925,2.3219,Horror;Drama;Action,0.250;0.250;0.167
nm4446467,Tye Sheridan,2,5,2.2925,2.3219,Drama;Thriller;Mystery,0.250;0.250;0.167
nm6675440,Lily-Rose Depp,2,5,2.2925,2.3219,Drama;Thriller;Sci-Fi,0.250;0.250;0.167
nm1451888,Benny Chan,2,5,2.2925,2.3219,Horror;Mystery;Action,0.250;0.250;0.167
nm9461509,Malinda Perera,2,5,2.2925,2.3219,Horror;Drama;Adventure,0.250;0.250;0.167
nm3500582,Teyonah Parris,2,5,2.2925,2.3219,Thriller;Horror;Sci-Fi,0.250;0.250;0.167
nm0004365,Fred Williamson,2,5,2.2925,2.3219,Comedy;Romance;Action,0.250;0.250;0.167
nm1779926,Kemal Basar,2,5,2.2925,2.3219,Comedy;Action;History,0.250;0.250;0.167
nm1396004,Serena Rossi,2,5,2.2925,2.3219,Drama;Thriller;Action,0.250;0.250;0.167
nm6512505,Dinakshie Priyasad,2,5,2.2925,2.3219,Comedy;Family;Action,0.250;0.250;0.167
nm0736263,Daniel Roebuck,2,5,2.2925,2.3219,Drama;Romance;Adventure,0.250;0.250;0.167
