actorId,pagerank,degree,weightedDegree,community
nm0000410,1.708478,18,18,1
nm1528548,0.946371,9,9,2
nm4141252,0.946371,9,9,2
nm1411125,0.8803,9,9,3
nm1676221,1.642194,18,18,3
nm0232998,1.0,9,9,5
nm11302979,1.0,9,9,5
nm3249839,1.0,9,9,5
nm7371202,1.0,9,9,5
nm4311291,1.0,9,9,5
nm0000126,1.0,9,9,5
nm0006669,1.703579,18,18,7
nm0928560,0.942925,9,9,7
nm10894712,0.942925,9,9,7
nm0896292,0.921881,9,9,8
nm5007768,1.733503,18,18,8
nm0441287,1.0,9,9,9
nm3569001,1.0,9,9,9
nm0028222,1.0,9,9,9
nm0000849,1.0,9,9,9
nm5754694,0.890639,9,9,4
nm1490478,1.0,9,9,10
nm0190441,1.0,9,9,10
nm0935395,1.0,9,9,10
nm12136451,1.0,9,9,10
nm0000169,1.0,9,9,10
nm1320827,0.910155,9,9,3
nm0597388,0.910155,9,9,3
nm0001737,0.910155,9,9,3
nm0933940,0.910155,9,9,3
nm0607325,0.910155,9,9,3
nm0000968,0.916764,9,9,3
nm0005107,0.916764,9,9,3
nm0177639,1.675353,18,18,3
nm5555747,0.916764,9,9,3
nm0001507,0.916764,9,9,3
nm0001803,1.614365,18,18,3
nm4363130,1.0,9,9,14
nm4156901,1.0,9,9,14
nm8791215,1.0,9,9,14
nm0992694,1.0,9,9,15
nm0000828,0.948678,9,9,8
nm8943180,0.948678,9,9,8
nm0735442,0.907851,9,9,6
nm0274704,0.907851,9,9,6
nm1431940,0.907851,9,9,6
nm0618960,0.907851,9,9,6
nm0421252,1.0,9,9,16
nm6085680,1.0,9,9,16
nm6822586,0.940203,9,9,6
nm0000226,0.940203,9,9,6
nm2809845,0.956853,9,9,18
nm1143429,0.865366,9,9,3
nm3879121,0.865366,9,9,3
nm10452066,0.874769,9,9,11
nm3102998,0.895646,9,9,3
nm1659547,0.895646,9,9,3
nm1555340,0.895646,9,9,3
nm4330477,0.855483,9,9,23
nm2396101,1.612399,18,18,23
nm3589263,0.855483,9,9,23
nm0387363,1.644808,18,18,23
nm1649780,1.689215,18,18,23
nm0156567,0.907127,9,9,23
nm0465503,0.874737,9,9,23
nm7301911,0.874737,9,9,23
nm0000982,0.944863,9,9,24
nm10596213,0.944863,9,9,24
nm11765144,1.0,9,9,27
nm7713812,1.0,9,9,27
nm9491587,1.0,9,9,27
nm9580241,1.0,9,9,27
nm4428577,1.0,9,9,28
nm2835834,1.0,9,9,28
nm10933148,1.0,9,9,28
nm0034877,2.413344,27,27,6
nm5806210,0.924626,9,9,6
nm0811242,0.918359,9,9,3
nm0602813,0.918359,9,9,3
nm5359536,0.918359,9,9,3
nm4331196,0.918359,9,9,3
nm0682970,0.918359,9,9,3
nm0001826,0.944863,9,9,24
nm0115415,0.943792,9,9,1
nm2501633,0.901742,9,9,1
nm4821030,1.708478,18,18,1
nm0636513,0.901742,9,9,1
nm3034998,0.861201,9,9,30
nm3409676,1.598541,18,18,30
nm4406232,1.602738,18,18,30
nm2218544,0.861201,9,9,30
nm2988329,0.867416,9,9,30
nm3663964,0.867416,9,9,30
nm1396004,1.591561,18,18,30
nm2390366,0.920386,9,9,31
nm0228701,0.920386,9,9,31
nm0085997,0.890006,9,9,3
nm0130736,0.890006,9,9,3
nm0847543,0.885874,9,9,3
nm2030779,1.649873,18,18,6
nm6724617,0.940198,9,9,33
nm6859238,0.940198,9,9,33
nm6234088,0.940198,9,9,33
nm4528776,0.940198,9,9,33
nm0751638,2.3544,27,27,3
nm3546868,0.879021,9,9,3
nm1080646,1.640497,18,18,3
nm0000449,0.879021,9,9,3
nm3093760,0.850655,9,9,3
nm1330276,2.404564,27,27,3
nm1378329,0.850655,9,9,3
nm2107127,1.0,9,9,34
nm0337466,1.0,9,9,34
nm0931477,1.0,9,9,34
nm0000452,1.0,9,9,34
nm2793591,0.956853,9,9,35
nm0825398,0.956853,9,9,35
nm0000463,0.956853,9,9,35
nm0541908,0.875764,9,9,3
nm3996691,0.875764,9,9,3
nm9404262,1.518166,18,18,3
nm5438913,0.825157,9,9,3
nm0646496,0.946816,9,9,33
nm1678720,0.946816,9,9,33
nm1002609,1.0,9,9,37
nm0120698,1.0,9,9,37
nm17694324,0.943387,9,9,39
nm1500155,0.943387,9,9,39
nm2225369,0.943387,9,9,39
nm3147751,1.705916,18,18,39
nm0000560,0.943387,9,9,39
nm1580957,0.879859,9,9,4
nm0000616,4.767467,54,54,7
nm8095468,0.920674,9,9,7
nm8495218,0.920674,9,9,7
nm2144150,0.920674,9,9,7
nm0712954,0.875596,9,9,7
nm11066861,0.920674,9,9,7
nm0000585,0.920674,9,9,7
nm0184392,1.655107,18,18,7
nm0216016,0.894454,9,9,7
nm0241421,0.875596,9,9,7
nm10363865,0.875596,9,9,7
nm6559494,0.920674,9,9,7
nm11332679,0.926369,9,9,43
nm2296440,0.956853,9,9,44
nm3238538,0.956853,9,9,44
nm5480894,0.899585,9,9,39
nm1429380,1.0,9,9,45
nm4612692,1.0,9,9,45
nm7279652,0.94476,9,9,3
nm0143295,0.920761,9,9,39
nm6618353,0.93291,9,9,6
nm7868231,0.93291,9,9,6
nm2525790,0.93291,9,9,6
nm1238859,0.913706,9,9,379
nm2151270,0.913706,9,9,379
nm0646010,0.913706,9,9,379
nm2096822,0.913706,9,9,49
nm2883665,0.913706,9,9,379
nm5352727,0.913706,9,9,49
nm3571592,1.579511,18,18,6
nm3948952,2.211149,27,27,6
