actorId,triangles,clusteringCoefficient,kshell,closeness,betweenness
nm0000051,36,1.0,9,0.0,
nm0000092,36,1.0,9,0.0,
nm0000096,36,1.0,9,0.0,
nm0000114,36,1.0,9,0.062315,
nm0000115,36,1.0,9,0.0,
nm0000126,36,1.0,9,0.0,
nm0000129,57,0.863636,8,0.0,
nm0000144,36,1.0,9,0.0,
nm0000146,36,1.0,9,0.0,
nm0000154,36,1.0,9,0.059211,
nm0000160,36,1.0,9,0.0,
nm0000161,36,1.0,9,0.0,
nm0000162,36,1.0,9,0.0,
nm0000169,36,1.0,9,0.0,
nm0000173,36,1.0,9,0.091971,
nm0000174,36,1.0,9,0.088112,
nm0000178,36,1.0,8,0.0,
nm0000182,36,1.0,9,0.062812,
nm0000185,72,0.470588,2,0.1,0.0
nm0000190,36,1.0,9,0.0,
nm0000194,36,1.0,9,0.0,
nm0000195,36,1.0,9,0.0,
nm0000198,36,1.0,9,0.0,
nm0000208,36,1.0,9,0.0,
nm0000215,36,1.0,9,0.0,
nm0000226,36,1.0,9,0.0,
nm0000227,72,0.470588,9,0.088112,0.0
nm0000228,36,1.0,9,0.0,
nm0000246,72,0.470588,1,0.105528,0.001067
nm0000276,36,1.0,9,0.0,
nm0000286,36,1.0,9,0.106599,
nm0000312,36,1.0,9,0.0,
nm0000317,36,1.0,9,0.066596,
nm0000329,72,0.470588,3,0.0,3.6e-05
nm0000334,36,1.0,9,0.0,
nm0000335,36,1.0,9,0.0,
nm0000339,36,1.0,9,0.0,
nm0000346,36,1.0,9,0.0,
nm0000353,36,1.0,9,0.0,
nm0000367,36,1.0,9,0.0,
nm0000376,36,1.0,8,0.062315,
nm0000377,36,1.0,9,0.081081,
nm0000391,36,1.0,9,0.0,
nm0000407,36,1.0,9,0.066386,
nm0000409,36,1.0,8,0.0,
nm0000410,72,0.470588,9,0.0,0.0
nm0000413,36,1.0,9,0.0,
nm0000420,36,1.0,9,0.0,
nm0000423,36,1.0,9,0.0,
nm0000430,108,0.307692,9,0.096774,0.000563
nm0000446,36,1.0,9,0.0,
nm0000448,36,1.0,9,0.068035,
nm0000449,36,1.0,9,0.096626,
nm0000452,36,1.0,9,0.0,
nm0000463,36,1.0,9,0.0,
nm0000483,36,1.0,9,0.0,
nm0000491,36,1.0,8,0.0,
nm0000514,72,0.470588,9,0.12426,0.003992
nm0000515,36,1.0,9,0.056808,
nm0000531,36,1.0,9,0.079646,
nm0000532,36,1.0,9,0.0,
nm0000538,36,1.0,9,0.0,
nm0000539,36,1.0,9,0.0,
nm0000553,36,1.0,9,0.0,
nm0000560,36,1.0,9,0.0,
nm0000574,72,0.470588,3,0.0,8e-06
nm0000576,36,1.0,9,0.0,
nm0000579,36,1.0,8,0.0,
nm0000585,36,1.0,9,0.0,
nm0000588,36,1.0,9,0.0,
nm0000593,36,1.0,9,0.0,
nm0000597,36,1.0,9,0.0,
nm0000609,57,0.863636,7,0.0,
nm0000616,216,0.150943,1,0.0,1.8e-05
nm0000620,36,1.0,9,0.0,
nm0000626,36,1.0,9,0.0,
nm0000638,36,1.0,9,0.0,
nm0000640,36,1.0,9,0.0,
nm0000641,36,1.0,9,0.0,
nm0000642,36,1.0,9,0.0,
