actorId,neighborId,sim,commonNeighbors
nm0051765,nm10279362,0.9961,9
nm0051765,nm5181516,0.9955,12
nm0051765,nm1662057,0.9952,22
nm0051765,nm2386430,0.9947,29
nm0051765,nm10281536,0.9945,8
nm0051765,nm2359179,0.9945,7
nm0051765,nm2609895,0.9943,21
nm0051765,nm10282858,0.9934,12
nm0051765,nm10288541,0.993,7
nm0051765,nm5729867,0.9928,23
nm0406737,nm0866736,0.9551,12
nm0406737,nm1272563,0.9548,12
nm0406737,nm0441526,0.9476,19
nm0406737,nm0157139,0.9401,16
nm0406737,nm0298575,0.9394,15
nm0406737,nm7731379,0.9378,12
nm0406737,nm0202135,0.9364,17
nm0406737,nm1284734,0.9336,12
nm0406737,nm0441571,0.9334,9
nm0406737,nm0014417,0.9313,16
nm0434595,nm0361696,0.9555,23
nm0434595,nm0051812,0.954,12
nm0434595,nm1792907,0.9425,12
nm0434595,nm0441526,0.9422,14
nm0434595,nm0157139,0.9411,11
nm0434595,nm0593043,0.9392,14
nm0434595,nm0866736,0.9353,10
nm0434595,nm0462208,0.9336,10
nm0434595,nm0014417,0.9302,10
nm0434595,nm7731379,0.9282,7
nm2212823,nm2806111,1.0,14
nm2212823,nm1256745,1.0,13
nm2212823,nm4519769,1.0,13
nm2212823,nm7100817,1.0,3
nm2212823,nm5683997,0.9998,6
nm2212823,nm1268681,0.9996,11
nm2212823,nm6229773,0.9995,9
nm2212823,nm2151247,0.9993,10
nm2212823,nm0419660,0.9992,13
nm2212823,nm0419705,0.9989,3
nm2806111,nm2212823,1.0,14
nm2806111,nm1256745,1.0,10
nm2806111,nm4519769,1.0,9
nm2806111,nm7100817,1.0,6
nm2806111,nm5683997,0.9998,4
nm2806111,nm1268681,0.9996,4
nm2806111,nm6229773,0.9995,10
nm2806111,nm2151247,0.9993,9
nm2806111,nm0419660,0.9992,10
nm2806111,nm0419705,0.9989,1
nm0993695,nm2852892,0.9995,10
nm0993695,nm5083230,0.9993,21
nm0993695,nm10392375,0.999,7
nm0993695,nm0875460,0.9988,17
nm0993695,nm1008063,0.9986,5
nm0993695,nm3491019,0.9985,9
nm0993695,nm0014954,0.9982,5
