actorId,name,x,y,community,degree
nm0051765,Tsumasaburō Bandō,-0.0012,-0.0041,217,92
nm0406737,Raizô Ichikawa,-0.0123,0.0142,177,73
nm0434595,Ryōsuke Kagawa,-0.0062,-0.0073,490,70
nm2212823,Duleeka Marapana,-0.0023,-0.0031,113,65
nm2806111,Kumara Thirimadura,-0.0023,-0.0031,1380,63
nm0993695,Kayoko Sugi,0.0056,-0.0018,739,62
nm1368581,Salim Kumar,0.0029,-0.0027,524,58
nm1428724,Indrans,-0.0057,-0.0093,524,58
nm6630516,Rodney Warnakula,-0.0034,-0.0012,1408,58
nm8300354,D.B. Gangodathenna,-0.0045,0.0008,1316,57
nm8358488,Anusha Damayanthi,-0.0076,0.008,1131,57
nm2156908,Jayalath Manoratne,-0.0001,-0.0067,1363,56
nm0000616,Eric Roberts,-0.0014,0.0119,7,54
nm5083230,Ken'ichirô Sugiyama,0.0055,-0.0015,739,54
nm2946751,Ichirô Yoshioka,0.0056,-0.0019,739,54
nm0044455,Ryônosuke Azuma,-0.0049,-0.0033,177,53
nm0605299,Shizuko Mori,-0.0011,-0.0032,217,53
nm0793674,Masao Shimizu,-0.0049,-0.0049,482,53
nm0419660,Veena Jayakody,-0.002,-0.0036,533,52
nm5212072,Cleatus Mendis,-0.0073,0.007,474,52
nm5825055,Rajitha Hiran Chamikara,-0.0066,0.0054,474,52
nm1269796,Mahendra Perera,-0.0029,-0.002,1316,51
nm2363115,Zen'ichirō Yasuda,-0.0005,-0.0041,217,51
nm5215308,Premadasa Vithanage,-0.008,0.0092,1061,51
nm0032900,Shinobu Araki,-0.0108,0.0072,177,50
nm0348018,Sanath Gunathilake,-0.0073,0.0072,474,50
nm0457953,Nijiko Kiyokawa,-0.001,-0.0043,216,50
nm4731146,Wilson Karunaratne,-0.0077,0.0082,474,49
nm1066117,Tatsuya Nagatomo,0.0071,-0.004,548,47
nm0440202,Kazım Kartal,-0.0033,-0.0091,402,46
nm2153938,Naminosuke Horikawa,0.0011,-0.0063,217,46
nm1092369,Manzô Shinra,-0.0126,-0.0051,1262,46
nm1259084,Manoj Joshi,-0.0084,0.0184,11,45
nm5551642,Kapila Sigera,-0.0074,0.0073,113,45
nm1416640,Roshan Pilapitaya,-0.0032,-0.0016,113,45
nm0768031,Sadako Sawamura,-0.0025,0.0257,110,45
