year,newEdges,newActors,cumulativeEdges,cumulativeActors
1919,45,10,45,10
1920,17,2,62,12
1921,45,10,107,22
1924,54,11,161,33
1925,45,9,206,42
1926,644,98,850,140
1927,158,21,1008,161
1928,122,15,1130,176
1929,73,9,1203,185
1931,39,4,1242,189
1932,119,20,1361,209
1933,118,14,1479,223
1934,103,8,1582,231
1935,14,1,1596,232
1938,45,10,1641,242
1939,45,10,1686,252
1940,45,10,1731,262
1941,45,10,1776,272
1944,90,18,1866,290
1946,176,30,2042,320
1947,87,16,2129,336
1948,223,45,2352,381
1949,312,52,2664,433
1950,90,17,2754,450
1951,218,31,2972,481
1952,88,15,3060,496
1953,268,47,3328,543
1954,440,60,3768,603
1955,417,53,4185,656
1956,222,36,4407,692
1957,215,27,4622,719
1958,285,37,4907,756
1959,294,57,5201,813
1960,219,32,5420,845
1961,222,41,5642,886
1962,269,51,5911,937
1963,269,47,6180,984
1964,134,20,6314,1004
1965,225,45,6539,1049
1966,397,56,6936,1105
1967,178,33,7114,1138
1968,45,10,7159,1148
1969,45,7,7204,1155
1970,90,20,7294,1175
1971,360,73,7654,1248
1972,224,47,7878,1295
1973,90,18,7968,1313
1974,360,79,8328,1392
1975,758,137,9086,1529
1976,266,52,9352,1581
1977,485,70,9837,1651
1978,444,79,10281,1730
1979,512,92,10793,1822
1980,551,98,11344,1920
1981,265,51,11609,1971
1982,134,27,11743,1998
1983,225,48,11968,2046
1984,135,27,12103,2073
1985,180,39,12283,2112
1986,90,17,12373,2129
1987,397,77,12770,2206
1988,268,56,13038,2262
1989,352,69,13390,2331
1991,135,30,13525,2361
1992,180,39,13705,2400
1993,90,19,13795,2419
1994,179,36,13974,2455
1995,45,10,14019,2465
1996,180,37,14199,2502
1997,90,20,14289,2522
1998,45,10,14334,2532
1999,90,19,14424,2551
2001,180,40,14604,2591
2002,311,64,14915,2655
2003,215,44,15130,2699
2004,395,84,15525,2783
2005,267,55,15792,2838
2006,169,34,15961,2872
2007,360,80,16321,2952
2008,485,97,16806,3049
2009,538,106,17344,3155
2010,540,106,17884,3261
2011,761,142,18645,3403
2012,489,88,19134,3491
2013,448,83,19582,3574
2014,673,137,20255,3711
2015,1385,263,21640,3974
2016,1463,277,23103,4251
2017,2155,454,25258,4705
2018,13396,2856,38654,7561
2019,39041,8065,77695,15626
2020,14464,2994,92159,18620
2021,7977,1582,100136,20202
2022,5104,1030,105240,21232
2023,2333,446,107573,21678
2024,1703,336,109276,22014
2025,917,175,110193,22189
2026,629,124,110822,22313
