genreA,genreB,count,shareOfA
Comedy,Drama,189,0.2958
Drama,Romance,136,0.1057
Crime,Drama,100,0.5319
Drama,Thriller,98,0.0761
Action,Drama,94,0.3062
Comedy,Romance,94,0.1471
Action,Adventure,62,0.202
Horror,Thriller,61,0.247
Action,Comedy,55,0.1792
Drama,Mystery,54,0.042
Drama,Horror,51,0.0396
Crime,Thriller,48,0.2553
Adventure,Comedy,46,0.3026
Action,Crime,46,0.1498
Adventure,Drama,45,0.2961
Biography,Drama,44,0.7586
Drama,Family,44,0.0342
Horror,Mystery,43,0.1741
Drama,History,42,0.0326
Action,Thriller,37,0.1205
Mystery,Thriller,36,0.3103
Comedy,Family,36,0.0563
Comedy,Horror,33,0.0516
Comedy,Crime,33,0.0516
Drama,Fantasy,32,0.0249
Action,Sci-Fi,31,0.101
Crime,Mystery,25,0.133
Drama,War,25,0.0194
Adventure,Fantasy,25,0.1645
Adventure,Animation,24,0.1579
Drama,Sci-Fi,22,0.0171
Comedy,Fantasy,22,0.0344
Action,Animation,20,0.0651
Drama,Music,19,0.0148
Action,Fantasy,18,0.0586
Drama,Sport,18,0.014
Adventure,Family,18,0.1184
Action,Romance,16,0.0521
Animation,Comedy,16,0.3019
Action,Horror,15,0.0489
Drama,Musical,14,0.0109
Action,History,13,0.0423
Comedy,Mystery,13,0.0203
Fantasy,Horror,12,0.12
Biography,History,11,0.1897
History,War,11,0.1667
Comedy,Sci-Fi,11,0.0172
Comedy,Thriller,11,0.0172
Comedy,Music,10,0.0156
Sci-Fi,Thriller,10,0.1064
Crime,Horror,10,0.0532
Action,War,10,0.0326
Horror,Sci-Fi,9,0.0364
Animation,Drama,9,0.1698
Family,Romance,9,0.0833
Action,Sport,8,0.0261
Action,Family,8,0.0261
Adventure,Horror,8,0.0526
History,Romance,8,0.1212
Family,Fantasy,8,0.0741
Drama,Western,8,0.0062
Animation,Family,7,0.1321
Romance,Thriller,7,0.0295
Adventure,History,7,0.0461
Musical,Romance,7,0.2059
Fantasy,Mystery,7,0.07
Biography,Comedy,7,0.1207
Adventure,Sci-Fi,7,0.0461
Documentary,Sport,6,0.1154
Animation,Fantasy,6,0.1132
Crime,Romance,6,0.0319
Mystery,Sci-Fi,6,0.0517
Action,Mystery,6,0.0195
Fantasy,Sci-Fi,6,0.06
Fantasy,Romance,6,0.06
Comedy,Musical,6,0.0094
Adventure,Biography,5,0.0329
Animation,Sci-Fi,5,0.0943
Biography,Crime,5,0.0862
Action,Documentary,5,0.0163
Action,Biography,5,0.0163
Adventure,Romance,5,0.0329
Comedy,Sport,5,0.0078
Comedy,Western,5,0.0078
Adventure,Thriller,5,0.0329
Biography,Sport,4,0.069
Mystery,Romance,4,0.0345
Crime,Fantasy,4,0.0213
Adventure,Crime,4,0.0263
Adventure,Mystery,4,0.0263
Music,Romance,4,0.1429
Biography,Romance,3,0.0517
Adventure,War,3,0.0197
Crime,Sci-Fi,3,0.016
Family,Sport,3,0.0278
Comedy,History,3,0.0047
Family,Musical,3,0.0278
Romance,Sci-Fi,3,0.0127
Adventure,Musical,3,0.0197
Biography,War,3,0.0517
Animation,Crime,2,0.0377
Horror,Romance,2,0.0081
Crime,History,2,0.0106
Documentary,Drama,2,0.0385
Documentary,History,2,0.0385
Family,Music,2,0.0185
Animation,Musical,2,0.0377
Fantasy,Musical,2,0.02
Romance,Sport,2,0.0084
Documentary,Horror,2,0.0385
Family,Sci-Fi,2,0.0185
Fantasy,Thriller,2,0.02
Biography,Documentary,2,0.0345
Fantasy,History,2,0.02
Documentary,Music,2,0.0385
Biography,Music,2,0.0345
Biography,Fantasy,1,0.0172
Biography,Thriller,1,0.0172
Biography,Family,1,0.0172
Documentary,Family,1,0.0192
Animation,Sport,1,0.0189
Comedy,Documentary,1,0.0016
Crime,Family,1,0.0053
Crime,Sport,1,0.0053
Sci-Fi,Western,1,0.0106
Family,Thriller,1,0.0093
Crime,Music,1,0.0053
Horror,Music,1,0.004
Crime,Documentary,1,0.0053
Horror,War,1,0.004
History,Horror,1,0.0152
