decade,genre,count,share
1910,Drama,1,1.0
1920,Drama,38,0.9744
1920,History,1,0.0256
1930,Adventure,1,0.0526
1930,Comedy,1,0.0526
1930,Drama,17,0.8947
1940,Comedy,2,0.125
1940,Drama,12,0.75
1940,Musical,1,0.0625
1940,Mystery,1,0.0625
1950,Action,5,0.1087
1950,Adventure,1,0.0217
1950,Comedy,7,0.1522
1950,Crime,1,0.0217
1950,Drama,26,0.5652
1950,Family,1,0.0217
1950,Fantasy,1,0.0217
1950,History,1,0.0217
1950,Musical,1,0.0217
1950,Romance,2,0.0435
1960,Action,13,0.1912
1960,Adventure,2,0.0294
1960,Biography,2,0.0294
1960,Comedy,7,0.1029
1960,Crime,2,0.0294
1960,Drama,18,0.2647
1960,History,8,0.1176
1960,Horror,2,0.0294
1960,Musical,1,0.0147
1960,Mystery,2,0.0294
1960,Romance,4,0.0588
1960,Thriller,2,0.0294
1960,War,5,0.0735
1970,Action,5,0.0769
1970,Adult,3,0.0462
1970,Adventure,6,0.0923
1970,Biography,1,0.0154
1970,Comedy,9,0.1385
1970,Crime,4,0.0615
1970,Documentary,2,0.0308
1970,Drama,19,0.2923
1970,Family,2,0.0308
1970,Fantasy,2,0.0308
1970,History,1,0.0154
1970,Horror,1,0.0154
1970,Musical,2,0.0308
1970,Mystery,1,0.0154
1970,Romance,4,0.0615
1970,Thriller,2,0.0308
1970,War,1,0.0154
1980,Action,8,0.092
1980,Adult,1,0.0115
1980,Adventure,6,0.069
1980,Animation,4,0.046
1980,Comedy,15,0.1724
1980,Crime,1,0.0115
1980,Documentary,2,0.023
1980,Drama,29,0.3333
1980,Family,3,0.0345
1980,Fantasy,2,0.023
1980,History,1,0.0115
1980,Horror,2,0.023
1980,Musical,2,0.023
1980,Mystery,1,0.0115
1980,Romance,7,0.0805
1980,War,3,0.0345
1990,Action,3,0.1111
1990,Adventure,1,0.037
1990,Comedy,3,0.1111
1990,Crime,1,0.037
1990,Documentary,1,0.037
1990,Drama,8,0.2963
1990,Family,1,0.037
1990,Fantasy,2,0.0741
1990,History,1,0.037
1990,Horror,1,0.037
1990,Romance,2,0.0741
1990,Sci-Fi,1,0.037
1990,War,2,0.0741
2000,Action,15,0.1456
2000,Biography,1,0.0097
2000,Comedy,9,0.0874
2000,Crime,3,0.0291
2000,Documentary,5,0.0485
2000,Drama,30,0.2913
2000,Family,5,0.0485
2000,Fantasy,5,0.0485
2000,History,2,0.0194
2000,Horror,4,0.0388
2000,Music,1,0.0097
2000,Musical,2,0.0194
2000,Mystery,2,0.0194
2000,Romance,8,0.0777
2000,Sci-Fi,3,0.0291
2000,Sport,6,0.0583
2000,Thriller,2,0.0194
2010,Action,152,0.0684
2010,Adventure,80,0.036
2010,Animation,36,0.0162
2010,Biography,26,0.0117
2010,Comedy,401,0.1804
2010,Crime,96,0.0432
2010,Documentary,34,0.0153
2010,Drama,665,0.2991
2010,Family,78,0.0351
2010,Fantasy,53,0.0238
2010,History,33,0.0148
2010,Horror,131,0.0589
2010,Music,16,0.0072
2010,Musical,17,0.0076
2010,Mystery,52,0.0234
2010,Romance,149,0.067
2010,Sci-Fi,38,0.0171
2010,Sport,12,0.0054
2010,Thriller,125,0.0562
2010,War,22,0.0099
2010,Western,7,0.0031
2020,Action,106,0.0741
2020,Adventure,55,0.0385
2020,Animation,13,0.0091
2020,Biography,28,0.0196
2020,Comedy,185,0.1294
2020,Crime,80,0.0559
2020,Documentary,8,0.0056
2020,Drama,424,0.2965
2020,Family,18,0.0126
2020,Fantasy,35,0.0245
2020,History,18,0.0126
2020,Horror,106,0.0741
2020,Music,11,0.0077
2020,Musical,8,0.0056
2020,Mystery,57,0.0399
2020,Romance,61,0.0427
2020,Sci-Fi,52,0.0364
2020,Sport,12,0.0084
2020,Thriller,139,0.0972
2020,War,10,0.007
2020,Western,4,0.0028
