actorId,movieId,category,ordering
nm4892161,tt9291476,actor,13
nm0889928,tt9291866,actor,1
nm2207585,tt9293926,actor,9
nm2545346,tt9293926,actor,8
nm6262099,tt9297754,actress,4
nm4252139,tt9301428,actor,4
nm2716106,tt9303040,actor,5
nm10269102,tt9303778,actress,1
nm7257457,tt9303968,actor,4
nm1953187,tt9304360,actor,1
nm0424848,tt9308382,actress,1
nm13154973,tt9309756,actor,2
nm12805105,tt9310606,actress,4
nm3024100,tt9311308,actress,2
nm2469558,tt9311360,actor,3
nm1833530,tt9312830,actor,4
nm1888295,tt9313910,actor,1
nm4379408,tt9313910,actress,8
nm10276269,tt9314164,actor,5
nm6244410,tt9314340,actor,9
nm7454102,tt9314984,actress,9
nm0001133,tt9318280,actor,3
nm6713767,tt9319194,actress,2
nm1805232,tt9319544,actor,10
nm2265507,tt9319826,actress,2
nm2545330,tt9319840,actress,4
nm10711464,tt9319874,actor,5
nm10493872,tt9319884,actor,7
nm7732675,tt9319890,actor,3
nm1521381,tt9319896,actress,1
nm4291439,tt9319918,actress,4
nm10244736,tt9320226,actor,7
nm2500160,tt9320226,actor,1
nm10261562,tt9322476,actress,8
nm10276299,tt9323034,actor,6
nm0145951,tt9326498,actor,3
nm0239402,tt9326956,actress,3
nm9017753,tt9327378,actress,7
nm0129227,tt9328726,actor,2
nm10278985,tt9328742,actor,6
nm10279637,tt9331072,actress,1
nm7785804,tt9332664,actress,3
nm6103501,tt9334342,actress,7
nm6079303,tt9335892,actor,9
nm0007711,tt9336032,actress,3
nm9477875,tt9336032,actress,4
nm0667074,tt9337248,actor,14
nm10282871,tt9337590,actress,1
nm1864017,tt9339936,actress,5
nm1172804,tt9340700,actress,3
nm10285007,tt9342360,actor,1
nm7574603,tt9342390,actress,9
nm4264236,tt9345754,actress,3
nm10288309,tt9345778,actress,8
nm4470621,tt9346816,actress,6
nm10287391,tt9347530,actress,2
nm10287498,tt9347672,actress,9
nm0308039,tt9348908,actor,1
nm5681306,tt9349050,actor,10
nm5207111,tt9349770,actress,5
nm1368581,tt9351220,actor,8
nm1077299,tt9352178,actor,9
nm7822670,tt9352210,actor,5
nm4061325,tt9354432,actress,3
nm10290593,tt9354814,actress,5
nm10293549,tt9357404,actress,10
nm10313951,tt9357404,actress,9
nm0001119,tt9358040,actress,7
nm2017835,tt9358486,actor,3
nm6119388,tt9359344,actor,9
nm8934337,tt9361322,actress,10
nm6922682,tt9361810,actor,5
nm2803434,tt9362694,actress,6
nm10421159,tt9363990,actress,2
nm1386893,tt9364228,actor,6
nm2386632,tt9364862,actor,5
nm10830414,tt9366176,actor,7
nm5960947,tt9367348,actor,1
nm8695774,tt9367348,actor,10
nm4763789,tt9368552,actor,3
nm10296702,tt9369410,actor,10
nm2395335,tt9369990,actor,6
