actorId,otherActorId,weight,movies
nm0000092,nm0038367,1,tt9657382
nm0000092,nm0115415,1,tt9657382
nm0000092,nm0278396,1,tt9657382
nm0000096,nm0230826,1,tt9652730
nm0000096,nm0870199,1,tt9652730
nm0000096,nm1099188,1,tt9652730
nm0000114,nm0300712,1,tt9848626
nm0000114,nm1221047,1,tt9848626
nm0000114,nm7854903,1,tt9848626
nm0000115,nm0950935,1,tt9624766
nm0000115,nm2142537,1,tt9624766
nm0000115,nm6545385,1,tt9624766
nm0000126,nm0232998,1,tt9340860
nm0000126,nm11302979,1,tt9340860
nm0000126,nm3249839,1,tt9340860
nm0000126,nm7371202,1,tt9340860
nm0000129,nm0001089,2,"tt9603208,tt9603212"
nm0000129,nm0564697,1,tt9603208
nm0000129,nm0670408,2,"tt9603208,tt9603212"
nm0000129,nm0924154,1,tt9603212
nm0000144,nm0010837,1,tt9419056
nm0000144,nm3770854,1,tt9419056
nm0000146,nm0011882,1,tt9764362
nm0000146,nm0396558,1,tt9764362
nm0000146,nm0509937,1,tt9764362
nm0000154,nm2394568,1,tt9853500
nm0000160,nm3244078,1,tt9421570
nm0000161,nm0000849,1,tt9411866
nm0000161,nm0028222,1,tt9411866
nm0000161,nm10843240,1,tt9411866
nm0000161,nm3569001,1,tt9411866
nm0000162,nm0004906,1,tt9794630
nm0000162,nm2592911,1,tt9794630
nm0000162,nm6545385,1,tt9794630
nm0000162,nm7425091,1,tt9794630
nm0000169,nm0001287,1,tt9689696
nm0000169,nm0154543,1,tt9689696
nm0000169,nm10802681,1,tt9689696
nm0000169,nm1490478,1,tt9689696
nm0000173,nm0607325,1,tt9663764
nm0000173,nm0933940,1,tt9663764
nm0000173,nm1320827,1,tt9663764
nm0000174,nm2112939,1,tt9302994
nm0000178,nm0232998,1,tt9340860
nm0000178,nm11302980,1,tt9340860
nm0000178,nm3249839,1,tt9340860
nm0000178,nm7371202,1,tt9340860
nm0000182,nm0001507,1,tt9686790
nm0000182,nm0005107,1,tt9686790
nm0000182,nm0241049,1,tt9686790
nm0000185,nm1720028,1,tt9663764
nm0000185,nm1961693,1,tt9534808
nm0000185,nm3018878,1,tt9663764
nm0000185,nm8556087,1,tt9534808
nm0000185,nm9556040,1,tt9534808
nm0000190,nm1042825,1,tt9398640
nm0000194,nm0010736,1,tt9357050
nm0000194,nm3239803,1,tt9357050
nm0000194,nm3964350,1,tt9357050
nm0000194,nm6516135,1,tt9357050
nm0000194,nm9581005,1,tt9357050
