actorId,name,birthYear
nm0000194,Julianne Moore,1960
nm0000198,Gary Oldman,1958
nm0001057,Toni Collette,1972
nm0001119,Yvonne De Carlo,1922
nm0001816,Robert Vaughn,1932
nm0001848,Dianne Wiest,1948
nm0005037,James Hyde,1962
nm0005253,Elisabeth Moss,1982
nm0005535,Estella Warren,1978
nm0007124,Suhasini,1961
nm0010736,Amy Adams,1974
nm0012078,Scott Adkins,1976
nm0022094,Miri Aloni,1949
nm0022764,Ernesto Alterio,1970
nm0034836,Ineko Arima,1932
nm0038449,Ariane Ascaride,1954
nm0043766,Chad Ayers,
nm0044729,Reza Babak,
nm0074053,Kris Bergen,1961
nm0107285,Frank Brennan,
nm0139175,Antoni Corone,1955
nm0141143,Jeanne Carré,
nm0149802,Chakori,
nm0156953,Ching-Hsia Chiang,
nm0162311,Igor Cillík,1941
nm0173004,Hervé Colombel,
nm0188121,Maria Cristina Gatti,
nm0189584,Randy Crowder,
nm0194553,Luciano Cáceres,1977
nm0195844,Joseph D'Onofrio,
nm0215429,Marcantonio Del Carlo,1965
nm0222181,Devan,1952
nm0224882,Lucky Dias,
nm0225777,João Didelet,1964
nm0230826,Monica Dolan,1969
nm0257922,Deana Demko,1968
nm0258194,Christine Entwisle,
nm0259074,Juli Erickson,1939
nm0266645,Chin Ao-Hsin,1947
nm0277932,Herman Finkers,1954
nm0285071,Guilherme Fontes,1967
nm0292708,Gunnel Fred,1955
nm0293724,André Frei,
nm0294372,Geoffrey Freshwater,
nm0297873,Keiji Fujiwara,1964
nm0303599,Giulia Gam,1966
nm0305365,Nanou Garcia,
nm0307253,Ruben Garfias,1960
nm0314751,Vincent Gerris,
nm0324772,Ramón E. Goicoechea,
nm0346363,Samir Guesmi,1967
nm0350453,Jake Gyllenhaal,1980
nm0368263,Emanuel Hason,1971
nm0375454,Ludo Hellinx,1955
nm0378245,Taraji P. Henson,1970
nm0386205,Kiyoko Hirai,
nm0388092,Patricia Hodge,1946
nm0389882,Hoi Heung,1921
nm0393291,Kôjirô Hongô,1938
nm0396212,Yukijirô Hotaru,1951
nm0406718,Haruyo Ichikawa,1913
nm0406737,Raizô Ichikawa,1931
nm0421044,Michael Jenn,1959
nm0424718,Carmel Johnson,
nm0432531,Jing Fang,
nm0434557,Kenichi Kagami,
nm0439307,Babak Karimi,1960
nm0446314,David Patrick Kelly,1951
nm0452748,Rya Kihlstedt,1969
nm0452939,Percy Kilbride,1888
nm0457038,Nino Kirtadze,1968
nm0463827,Sonja Kolačarić,1980
nm0467379,Lubo Kostelný,1981
nm0473530,Akira Kubo,1936
nm0477753,Casey Takamine,1934
nm0477767,Akitake Kôno,1911
nm0479300,Vangie Labalan,1943
nm0491426,Lucie Laurier,1975
nm0497362,Lee Han-wi,1961
nm0527959,Rolf Lydahl,1959
nm0530286,Mónica López,1969
nm0534497,Jamel Madani,
nm0536095,Benoît Magimel,1974
nm0538303,Sreela Majumdar,1958
nm0553778,Lou Martini Jr.,
nm0561114,Gail Maurice,
nm0572324,Gibb McLaughlin,1884
nm0579076,Melissa Mendez,1964
nm0579795,Peter Mensah,1959
nm0592654,Chieko Misaki,1921
nm0594391,Chôchô Miyako,1920
nm0601335,Jaren Moore,
nm0602071,Margo Moorer,
nm0608440,William Moseley,1987
nm0613874,Gerardo Murguía,1958
nm0618936,Usha Nadkarni,
nm0619200,Chô,1957
nm0619834,Ahmad Najafi,
nm0651274,Tito Ortiz,1975
nm0652708,Michimaro Otabe,
nm0657241,Germán Palacios,1963
nm0668241,Carl Anthony Payne II,1969
nm0719914,Robin Renucci,1956
nm0739287,Derby Romero,1989
nm0757299,Mutsuko Sakura,1921
nm0765974,Jamel Sassi,
nm0793585,Sumi Shimamoto,1954
nm0793675,Mayumi Shimizu,1940
nm0796513,Sadiya Siddiqui,1972
nm0799226,Satu Silvo,1962
nm0810379,Yeardley Smith,1964
nm0812453,Vladimir Sokoloff,1889
nm0845270,Marianne Sägebrecht,1945
nm0847464,Toyoko Takechi,
nm0848862,Khatijah Tan,
nm0852466,Holland Taylor,1943
nm0856194,Nubar Terziyan,1909
nm0875460,Hachirô Tsuruoka,1927
nm0913789,Atsushi Watanabe,1947
nm0944081,Sharyn Wynters,
nm0970866,Matthew Ewald,1982
nm0992636,Omar Medina,
nm0992655,Kiichirô Mutô,
nm1002207,Phetthai Vongkumlao,
nm10047921,Syahriar Tato,
nm10063311,Trevor Jean Volentine,
nm10067871,Khalid Mengah,1961
nm10093730,Connie Jo Bennett,
nm10109408,Success Akpojotor,1990
nm10114454,Gagan Kokri,
nm10122861,Daniel Heca,
nm10144763,Mario De Lillo,
nm10191596,Will Jones,
nm10215661,Cengceng Zhang,
nm10267905,Shirley DePhillips,
nm10269102,Alina Astrovskaya,1989
nm10270566,Teri D. Brown,
nm10271721,Echa Permatasari,
nm1027842,Masami Arisawa,
nm10282870,Jeanine Bérenguer,
nm10282871,Andrée Berjuin,
nm10284020,Kendra Jervis,
nm10285009,Emilia Berberausaite,
nm10285010,Erin Abrahams,
nm10289291,Abby Shaw,
nm10289913,Nia Payne,
nm10296873,David Bermudez,
nm10298321,Tito Gomez,
nm10303781,Millie Clarkes,
nm10307265,Natalia Kuloshvili,
nm10313053,Vlad Kiryukhin,
nm10322942,Ryû Miemachi,
nm10328670,Funda Öz,
nm10330477,Bruce Norton,
nm10330479,Henry da Silva,
nm10332268,Catherine Wolf,
nm10337380,Sounak Kundu,
nm10341143,Sasa Podhostnik,
nm10342515,Nehir Seymenoglu,
nm10344698,Pablo Cantón,
nm10349796,Yumi Kurihara,
nm10350752,Jeffery Walker,
nm10350935,Nikolay Dimitrov,
nm10355436,Perla Montes de Oca,
nm10362199,Caleb Allen,
nm10362777,Miriam Arce,
nm10364392,Nao Mizuno,
nm10367197,Harvey Dukes,
nm10369425,Kevin Rodrigues,
nm10376621,Vishal Sangale,
nm10377020,Martina Trillo,
nm10377829,Shivraj Chavan,
nm10379925,Ishaan Verma,
nm10388578,Derek Albert,
nm10389248,Fang-Fang Hsiao,
nm10390408,Terrence Manes,
nm10396381,Maria Elena Farias,
nm10397133,Yezhou Han,
nm1040273,Katarzyna Herman,1971
nm1040372,T.J. Jagodowski,1971
nm10408832,Jomo Rainbow,
nm10413848,Nadeesha Alahapperuma,
nm10415836,Gabriella Wisdom,
nm10427150,Vaishnavi,
nm10429837,Irving James,
nm10430003,Mahmut Kemal Sarialtun,
nm10430743,Sehij Iarmoshenko,
nm10431130,Celine Stampfer,
nm10434490,Izzy Davi,
nm10436337,Diana Egwuatu,
nm10436897,Kim Brown,
nm10443677,Chicho Tche,
nm10446092,Christina Aperioti,
nm10450363,Dhanuskha Iroshani,
nm10452946,Floris Meerveld,
nm10454406,Amaiya Bearpaw,
nm10455667,Célia Cordeiro,
nm10456642,Nikolas Vidal,
nm10456949,Heidi Shelhamer,
nm10458435,Sigismund Achenbach,
nm10460845,Rajesh Khurana,
nm10461997,Luciano González,
nm10464249,Skyler Knight,
nm10466029,Emil Vargas,
nm10467931,Ryan Grace,
nm10472114,Ayubu Juma,
nm10473064,Christopher Rector,
nm10479462,Steve Bluwa,
nm10490902,Teuku Zacky,
nm10490904,Annisa Aurelia,
nm10491040,Matthew Baker,
nm10491843,Simon Bannerot,
nm10493405,Dakota McConnell,
nm10496838,Clarice Cutie,
nm10498819,Yusef Khosravi,
nm10503010,Tomohiro Mei,
nm10504826,Harvinder Kaur,
nm10509238,Elizabeth Ballang,
nm10510604,Todd Demartino,
nm10511907,Sanket More,
nm10511950,Indika Fernando,
nm10515696,Clay Coleman-Davis,
nm10518018,Paul Bond,
nm10522098,Natalie Jane Walsh,
nm10522898,Gabriella Baronello,
nm10527017,Apratim Chatterjee,
nm10532827,Walt Brown,
nm10532835,Monique Cominio,
nm10532992,Vicious Precious Bardon,
nm10533934,Girish Bujji,
nm10533945,Yûichi Takehara,
nm10535372,Mr. Boo,
nm10548547,Jordan Athey,
nm10560371,Muhammad Fareez Daniel Bin Sharabuddin,
nm10592823,David Nanub,
nm10618260,Kyoko Clancy,
nm10626422,Jazmin Prado,
nm10680112,Marco Rosario Amato,
nm10683362,Larysa Yatzenko,
nm10695336,Ebba Bangoura,
nm10698341,Kay Boadi,
nm10700050,Yong Chen,
nm10730438,Yunyao Zhang,
nm10797159,Babu Jose,
nm1082873,Ben Crowley,1980
nm10857288,Ashton Kellogg,
nm10864667,Paul Cowling,
nm10866897,Tianqi Ren,
nm10890555,Balaji,
nm10919573,Robert Petrie,
nm1098018,Sukanya Kulkarni,1968
nm1104698,Vijay Bhanu,
nm11075415,Alex Mayo,
nm1110009,Farkhad Makhmudov,
nm11121192,Liza Giovagnoli,
nm11130701,Nina De Taeye,
nm11214448,Edgars Balins,
nm11221117,Bunty,
nm11225783,Binghui Li,
nm11232735,Yong Ding,
nm1125178,Toygun Ates,1954
nm1127071,Pallavi Patil,1991
nm1133652,Miguel Ferrari,
nm1137962,Mako Sanjô,1943
nm1141223,Zerrin Dogan,1951
nm11469679,Anjaneyulu,
nm11501147,Savitri Alpizar,
nm11533925,Bharath Kalyan,
nm11633698,Valdas Virgailis,
nm11638997,Tathguni Kempegowda,
nm1165904,Tien-Chu Lee,1956
nm11663351,Thomas Bell,
nm11678106,Helsa Zolfi,
nm1167899,Jiaolong Sun,
nm11682645,Raffaele Abete,
nm1169445,Aleksey Shevchenkov,1974
nm11713971,Siyuan Tao,
nm11721161,Ryan Bates,
nm1174035,Maria Mamona,1954
nm11751036,Maciej Drosio,
nm11758686,Malayka Nyman,
nm1181243,Murasaki Fujima,1923
nm1181828,Mohsen Mahdavi,
nm1186378,Hiroko Sugita,
nm11879822,Jonne Kaaretkoski,
nm11880040,Sung Joon Park,
nm1189897,Prema Kiran,1961
nm11982842,Jeanne Brouard,
nm12052708,Anton Samusik,
