movieId,title,year,runtimeMinutes,genres,castSize
tt9294056,Van Zùmmere en nie Baang,2019,,Drama,10
tt9310544,Afterlife,2019,93,"Adventure,Drama,Family",10
tt9315684,Summerlight... and Then Comes the Night,2022,111,"Comedy,Drama",10
tt9326956,La vitrine du plaisir,1978,62,Adult,10
tt9336300,Starwars: Goretech,2018,90,"Action,Comedy,Sci-Fi",10
tt9350746,Evan's Gambit,2019,121,Drama,10
tt9351854,Claudia,2019,86,Comedy,10
tt9359774,Ex,2020,85,"Comedy,Drama",10
tt9362722,Spider-Man: Across the Spider-Verse,2023,140,"Action,Adventure,Animation",10
tt9363502,Last Night in Rozzie,2021,80,Drama,10
tt9364848,Born Beautiful,2019,96,Comedy,10
tt9367926,Escape Room: Quest of Fear,2018,111,Horror,10
tt9377978,Encena: O Jogo dos Atos,2019,139,Drama,10
tt9378850,Kung Fu Monster,2018,104,"Action,Fantasy",10
tt9383706,Our Scene,2018,,Documentary,10
tt9385130,Enoken no bikkuri shakkuri jidai,1948,72,Drama,10
tt9389444,Hope Has a Name,2017,147,Documentary,10
tt9392532,Neighbors,2018,90,"Comedy,Drama",10
tt9407706,Red Blade,2018,86,Action,10
tt9412514,Blind Spot,2019,104,Drama,10
tt9422468,Bikes,2018,92,"Animation,Family,Sport",10
tt9426210,Weathering with You,2019,112,"Animation,Drama,Fantasy",10
tt9429948,Hana no jô ôbachi seikyôran,1975,65,\N,10
tt9433872,Blood Sacrifice,2021,87,Drama,10
tt9437052,Wedy Atkalam,2018,73,"Comedy,Drama",10
tt9440660,Marcelo,2019,118,Comedy,10
tt9442146,Hüddam 2,2019,92,"Drama,Horror,Thriller",10
tt9442890,Iganosuke to Tenichibo,1926,,Drama,10
tt9470296,Secure the Bag,2019,73,"Crime,Drama",10
tt9471378,Second Thoughts,2019,77,"Drama,Romance",10
tt9471424,Hell's Bells,2020,80,"Comedy,Horror",10
tt9471988,Goodbye Soviet Union,2020,91,"Comedy,Drama",10
tt9477066,Little Kingdom,2019,98,"Drama,War",10
tt9477594,Legends of the Three Kingdoms,2018,94,"Action,Romance",10
tt9486076,Easter Bunny Assassin: Chapter 2 - Santa Claus Crack Dealer,2017,,"Action,Comedy,Crime",10
